customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
CUST1019,41,Male,North,Graduate,Self-Employed,66314.74,24966.99,Car,737,4,93,68.09,2018-10-20 11:04:12.435108,0
CUST1020,61,Male,East,Secondary,Self-Employed,67209.47,15346.9,Home,837,4,45,39.36,2018-12-16 11:04:12.435108,0
CUST1021,47,Female,West,Post-Graduate,Salaried,38338.45,18940.52,Other,449,5,79,21.78,2022-01-06 11:04:12.435108,0
CUST1022,55,Female,South,Graduate,Salaried,46657.57,46443.43,Business,307,12,89,26.53,2023-02-06 11:04:12.435108,0
CUST1023,19,Male,North,Secondary,Salaried,55651.6,4970.3,Home,328,6,51,35.06,2016-08-24 11:04:12.435108,1
CUST1024,38,Male,West,Primary,,45026.18,22537.4,Home,595,6,47,60.89,2022-08-23 11:04:12.435108,0
CUST1025,50,Female,North,Secondary,Salaried,82146.91,24676.93,Other,639,0,53,41.86,2018-07-31 11:04:12.435108,0
CUST1026,29,Female,North,Primary,Unemployed,59819.5,30857.86,Business,738,1,64,10.55,2024-05-18 11:04:12.435108,0
CUST1027,39,Female,North,Graduate,Self-Employed,64697.56,20979.83,Home,443,11,38,51.87,2023-08-21 11:04:12.435108,0
CUST1028,61,Female,East,Post-Graduate,Salaried,63257.63,23080.51,Home,818,8,64,83.72,2024-03-19 11:04:12.435108,1
CUST1029,42,Male,East,Post-Graduate,Self-Employed,73469.48,16083.51,Business,344,9,87,74.97,2022-06-18 11:04:12.435108,0
CUST1030,66,Male,South,Graduate,Salaried,53620.43,22691.27,Education,538,1,89,76.02,2021-01-20 11:04:12.435108,0
CUST1031,44,Female,South,Post-Graduate,Unemployed,24063.36,16568.08,Home,454,5,7,73.6,2018-10-27 11:04:12.435108,0
CUST1032,59,Male,West,Post-Graduate,Unemployed,57993.76,26215.72,Car,480,10,22,35.9,2021-05-21 11:04:12.435108,0
CUST1033,45,Female,South,Primary,Salaried,36972.86,16303.9,Business,514,10,81,71.22,2022-12-16 11:04:12.435108,1
CUST1034,33,Other,North,Graduate,Salaried,39427.67,23771.0,Home,387,0,82,21.45,2019-06-21 11:04:12.435108,0
CUST1035,32,Female,North,Secondary,Self-Employed,61727.28,19707.37,Other,555,2,41,62.62,2025-06-05 11:04:12.435108,0
CUST1036,64,Male,East,Primary,Unemployed,74765.66,31260.5,Car,810,1,74,61.33,2026-02-05 11:04:12.435108,1
CUST1037,68,Female,North,Graduate,Salaried,50425.43,19486.06,Home,372,2,10,12.05,2016-06-03 11:04:12.435108,1
CUST1038,61,Female,West,Primary,Self-Employed,56176.66,2269.68,Car,478,4,57,73.04,2024-11-10 11:04:12.435108,0
CUST1039,69,Female,North,Secondary,Self-Employed,84044.3,32619.22,Car,511,10,7,82.26,2025-05-21 11:04:12.435108,0
CUST1040,20,Other,North,Secondary,Self-Employed,54815.06,10942.68,Education,533,9,50,31.39,2018-02-20 11:04:12.435108,0
CUST1041,54,Male,West,Graduate,Salaried,102033.66,13462.34,Car,764,5,91,74.99,2024-03-06 11:04:12.435108,0
CUST1042,68,Other,South,Secondary,Self-Employed,61310.19,14043.39,Education,522,8,52,16.59,2021-02-02 11:04:12.435108,1
CUST1043,24,Other,South,Primary,Unemployed,14784.74,33744.38,Business,563,11,33,58.0,2020-03-01 11:04:12.435108,0
CUST1044,38,Male,West,Secondary,Salaried,65066.83,1000.0,Education,506,10,1,48.85,2019-06-20 11:04:12.435108,0
CUST1045,26,Male,East,Primary,Salaried,57623.17,51377.49,Other,665,9,53,53.67,2018-02-03 11:04:12.435108,0
CUST1046,56,Male,North,Primary,,75795.06,30560.57,Home,575,11,60,84.1,2018-10-06 11:04:12.435108,0
CUST1047,35,Male,West,Secondary,Salaried,63463.63,22232.39,Business,679,11,34,79.71,2024-11-29 11:04:12.435108,0
CUST1048,21,Male,North,Graduate,Unemployed,47230.88,19451.06,Business,608,12,4,72.81,2020-02-15 11:04:12.435108,0
CUST1049,42,Female,East,Post-Graduate,Salaried,25514.04,22855.54,Other,567,3,17,31.9,2017-06-30 11:04:12.435108,0
CUST1050,31,Male,North,Secondary,Salaried,45819.53,25211.22,Education,363,6,4,82.95,2017-05-22 11:04:12.435108,0
CUST1051,67,Male,West,Primary,Unemployed,32989.59,26452.16,Home,649,5,43,17.8,2020-08-11 11:04:12.435108,0
CUST1052,26,Female,North,Primary,Salaried,38389.53,25556.04,Education,793,1,90,78.27,2017-06-08 11:04:12.435108,0
CUST1053,43,Male,South,Secondary,Self-Employed,61771.57,20895.81,Car,822,9,4,36.25,2020-05-17 11:04:12.435108,0
CUST1054,19,Female,East,Graduate,Salaried,83398.09,18026.62,Education,397,10,1,14.3,2025-11-08 11:04:12.435108,0
CUST1055,37,Male,East,Graduate,Self-Employed,57893.43,18487.27,Business,370,10,71,63.55,2020-03-16 11:04:12.435108,0
CUST1056,45,Male,East,Primary,Salaried,26082.34,18050.92,Home,663,10,94,28.5,2023-02-13 11:04:12.435108,0
CUST1057,64,Female,West,Primary,Salaried,58892.05,31337.7,Education,575,7,50,29.49,2019-04-26 11:04:12.435108,0
CUST1058,24,Female,East,Graduate,,73932.63,25935.57,Home,349,6,73,34.48,2025-05-26 11:04:12.435108,0
CUST1059,61,Female,South,Post-Graduate,Salaried,37804.34,1000.0,Home,657,6,61,15.09,2016-11-01 11:04:12.435108,0
CUST1060,25,Female,West,Secondary,Self-Employed,47319.66,26559.01,Car,784,7,35,24.17,2024-07-13 11:04:12.435108,1
CUST1061,64,Female,South,Primary,Salaried,50293.76,21947.36,Car,383,11,8,10.41,2021-07-02 11:04:12.435108,0
CUST1062,52,Male,North,Primary,Self-Employed,34302.03,19812.91,Business,595,11,24,45.63,2022-05-13 11:04:12.435108,0
CUST1063,31,Male,North,Graduate,Salaried,62965.61,16114.82,Other,535,12,83,16.74,2017-10-01 11:04:12.435108,1
CUST1064,34,Female,North,Secondary,,47581.04,31241.13,Home,355,10,36,64.61,2020-08-05 11:04:12.435108,0
CUST1065,53,Female,North,Graduate,Salaried,58390.65,29475.26,Other,659,0,50,28.85,2017-03-26 11:04:12.435108,0
CUST1066,67,,South,Secondary,Salaried,32250.16,12271.22,Business,409,12,43,85.49,2022-07-17 11:04:12.435108,0
CUST1067,57,Male,West,Secondary,Salaried,41250.83,24070.52,Home,491,0,27,79.7,2019-08-21 11:04:12.435108,1
CUST1068,21,Male,West,Secondary,Salaried,64447.63,10283.43,Home,392,7,32,33.16,2025-08-26 11:04:12.435108,0
CUST1069,19,Female,East,Primary,Self-Employed,42543.34,6203.82,Other,359,3,78,72.66,2023-05-26 11:04:12.435108,0
CUST1070,23,Male,South,Post-Graduate,Salaried,84539.28,13732.83,Education,338,4,18,74.26,2023-04-15 11:04:12.435108,0
CUST1071,59,Other,North,Graduate,Unemployed,42007.28,28623.93,Car,839,7,28,88.93,2026-04-12 11:04:12.435108,1
CUST1072,21,Female,South,Post-Graduate,Salaried,54493.69,29531.25,Education,348,4,29,57.83,2026-01-05 11:04:12.435108,0
CUST1073,46,Male,East,Graduate,Salaried,68651.82,25130.85,Other,719,9,16,16.56,2020-05-28 11:04:12.435108,0
CUST1074,35,Female,East,Secondary,Self-Employed,21632.69,27250.96,Car,312,3,99,61.75,2022-10-28 11:04:12.435108,0
CUST1075,43,Female,South,Primary,Self-Employed,14783.82,25161.78,Education,335,11,47,60.0,2018-07-04 11:04:12.435108,0
CUST1076,61,Male,South,Post-Graduate,Salaried,19486.87,13585.18,Car,400,5,59,61.07,2024-04-01 11:04:12.435108,0
CUST1077,51,Other,South,Primary,Salaried,75251.68,24319.23,Home,385,12,31,34.57,2017-02-16 11:04:12.435108,0
CUST1078,27,Female,West,Graduate,Salaried,38962.84,28004.1,Education,815,11,4,78.77,2016-11-11 11:04:12.435108,1
CUST1079,53,Female,North,Primary,Self-Employed,101163.99,27542.91,Car,522,4,37,86.76,2023-10-07 11:04:12.435108,0
CUST1080,31,Male,South,Primary,Self-Employed,38715.05,31889.13,Car,637,6,17,27.42,2018-11-27 11:04:12.435108,0
CUST1081,48,Female,South,Post-Graduate,Salaried,53691.03,27083.04,Car,465,9,39,17.05,2025-01-07 11:04:12.435108,0
CUST1082,65,Male,South,Secondary,Unemployed,80842.2,23514.48,Education,682,6,48,25.56,2019-08-06 11:04:12.435108,0
CUST1083,32,Male,East,Primary,Unemployed,90121.86,30701.5,Business,675,12,46,75.64,2017-03-30 11:04:12.435108,0
CUST1084,25,Other,East,Secondary,Self-Employed,91230.07,19734.79,Education,770,3,90,64.13,2025-12-10 11:04:12.435108,0
CUST1085,31,Male,West,Graduate,Unemployed,74167.32,11181.25,Other,330,11,48,60.88,2018-12-17 11:04:12.435108,0
CUST1086,40,Male,North,Primary,Salaried,70481.25,18369.33,Education,674,12,39,42.14,2026-01-25 11:04:12.435108,0
CUST1087,57,Other,West,Post-Graduate,Salaried,61850.54,12550.97,Car,310,4,4,56.23,2017-06-25 11:04:12.435108,0
CUST1088,38,Other,North,Graduate,Salaried,65567.22,13248.22,Home,601,12,30,34.63,2020-08-11 11:04:12.435108,1
CUST1089,33,Female,East,Graduate,Salaried,38976.29,18554.81,Education,395,2,30,48.18,2019-06-20 11:04:12.435108,1
CUST1090,62,Female,East,Post-Graduate,Self-Employed,33636.02,12075.8,Education,489,3,22,73.45,2021-06-08 11:04:12.435108,0
CUST1091,35,Male,East,Primary,Unemployed,49932.51,16920.38,Car,752,3,75,88.5,2023-06-24 11:04:12.435108,0
CUST1092,64,Male,West,Primary,Salaried,46596.31,1063.85,Home,491,2,66,84.6,2025-09-14 11:04:12.435108,0
CUST1093,41,Male,South,Graduate,Salaried,40935.44,22132.94,Home,785,12,12,84.71,2020-06-10 11:04:12.435108,1
CUST1094,43,Female,South,Primary,Salaried,63927.75,20012.05,Other,565,9,94,42.18,2018-03-05 11:04:12.435108,0
CUST1095,42,Female,East,Secondary,Unemployed,69106.1,11829.11,Education,723,4,36,47.5,2020-07-02 11:04:12.435108,1
CUST1096,62,Female,South,Post-Graduate,Salaried,51768.14,26592.46,Home,427,4,18,66.45,2020-05-02 11:04:12.435108,0
CUST1097,58,Female,South,Secondary,Self-Employed,79550.6,29375.7,Home,537,10,90,83.78,2018-09-13 11:04:12.435108,1
CUST1098,46,Male,West,Primary,Salaried,27166.22,3924.4,Business,654,6,53,21.36,2023-11-13 11:04:12.435108,1
CUST1099,32,Female,North,Graduate,Salaried,46126.81,12372.75,Business,411,3,71,34.34,2019-05-06 11:04:12.435108,1
CUST1100,62,Male,East,Post-Graduate,,35663.55,12308.58,Home,745,12,1,21.14,2024-03-21 11:04:12.435108,0
CUST1101,18,Female,East,Primary,,12669.27,10600.97,Other,642,3,58,58.96,2024-01-06 11:04:12.435108,0
CUST1102,42,Male,West,Primary,Salaried,48346.39,28294.75,Home,444,8,90,34.5,2023-08-14 11:04:12.435108,0
CUST1103,24,Female,West,Graduate,,47565.05,18061.74,Car,364,5,87,36.09,2017-02-24 11:04:12.435108,0
CUST1104,26,Male,South,Graduate,Self-Employed,80268.99,17354.85,Education,546,3,90,15.67,2023-03-08 11:04:12.435108,0
CUST1105,41,Male,East,Secondary,Unemployed,62616.23,1000.0,Other,789,1,6,37.98,2023-06-21 11:04:12.435108,0
CUST1106,18,Male,North,Post-Graduate,Salaried,29516.26,26354.18,Car,738,5,70,79.0,2018-04-08 11:04:12.435108,0
CUST1107,61,Female,West,Post-Graduate,Self-Employed,87081.85,7607.42,Other,405,1,44,28.65,2022-05-04 11:04:12.435108,0
CUST1108,25,Female,North,Graduate,Salaried,74420.67,20599.33,Car,480,4,72,65.61,2024-07-11 11:04:12.435108,0
CUST1109,41,Male,North,Secondary,Self-Employed,61641.95,22773.77,Education,483,5,24,60.37,2019-02-04 11:04:12.435108,0
CUST1110,28,Male,East,Post-Graduate,Salaried,45470.32,33606.59,Education,525,3,86,79.08,2018-03-08 11:04:12.435108,1
CUST1111,68,Female,East,Graduate,Salaried,30811.22,6911.8,Business,388,12,19,20.58,2021-07-14 11:04:12.435108,0
CUST1112,34,Male,West,Primary,Salaried,42555.86,1000.0,Car,829,2,18,88.21,2020-08-09 11:04:12.435108,0
CUST1113,25,Female,East,Post-Graduate,Self-Employed,71774.97,21838.5,Business,670,6,95,56.61,2019-05-18 11:04:12.435108,0
CUST1114,52,Female,East,Secondary,Salaried,87691.73,38005.11,Car,698,1,30,89.64,2023-07-12 11:04:12.435108,1
CUST1115,52,Male,East,Secondary,Self-Employed,80864.87,32389.46,Business,405,12,42,82.92,2024-01-25 11:04:12.435108,0
CUST1116,50,Male,North,Secondary,,40223.01,22096.59,Education,570,10,33,27.72,2022-08-06 11:04:12.435108,0
CUST1117,22,,West,Primary,Salaried,27607.65,15083.64,Other,802,5,74,14.49,2018-10-24 11:04:12.435108,0
CUST1118,59,Male,South,Post-Graduate,Self-Employed,52817.72,28071.23,Business,824,12,12,30.45,2024-01-11 11:04:12.435108,0
CUST1119,56,Male,North,Post-Graduate,Salaried,14631.21,10264.54,Car,331,3,94,52.21,2019-12-27 11:04:12.435108,0
CUST1120,58,Female,East,Primary,Unemployed,56463.35,24763.58,Car,692,5,27,23.73,2025-10-20 11:04:12.435108,1
CUST1121,45,Other,North,Post-Graduate,Salaried,47047.95,25054.7,Education,339,3,39,23.4,2024-12-19 11:04:12.435108,1
CUST1122,24,,East,Primary,Self-Employed,40679.27,30602.1,Car,517,3,9,47.01,2025-01-19 11:04:12.435108,0
CUST1123,26,Female,East,Primary,Unemployed,18105.94,47596.6,Home,381,3,21,12.66,2016-12-23 11:04:12.435108,0
CUST1124,25,Male,North,Primary,Unemployed,60272.0,23924.16,Other,500,8,76,19.75,2018-12-02 11:04:12.435108,0
CUST1125,29,Male,West,Secondary,Self-Employed,39345.98,14910.36,Business,746,6,29,43.27,2025-07-26 11:04:12.435108,0
CUST1126,51,Female,East,Post-Graduate,Salaried,26601.66,19744.26,Other,727,2,33,15.05,2016-09-16 11:04:12.435108,0
CUST1127,50,Female,West,Primary,Self-Employed,5000.0,2309.24,Education,337,2,62,41.74,2025-05-18 11:04:12.435108,0
CUST1128,65,Male,South,Post-Graduate,Unemployed,49449.7,13052.87,Business,510,5,15,47.92,2019-11-21 11:04:12.435108,1
CUST1129,40,Other,East,Secondary,Self-Employed,85445.03,15907.18,Business,743,5,2,46.1,2020-11-06 11:04:12.435108,1
CUST1130,41,Male,West,Primary,Salaried,83225.18,14759.12,Home,626,3,52,79.53,2019-05-09 11:04:12.435108,0
CUST1131,54,Female,West,Graduate,Unemployed,40858.07,21523.55,Education,526,8,44,52.4,2017-02-03 11:04:12.435108,0
CUST1132,52,Male,South,Secondary,Self-Employed,37955.76,11775.8,Car,347,3,54,47.44,2018-09-19 11:04:12.435108,0
CUST1133,61,Female,West,Graduate,Self-Employed,59375.49,31210.31,Home,317,8,18,42.86,2022-09-17 11:04:12.435108,0
CUST1134,57,Male,West,Post-Graduate,Salaried,30032.29,20002.07,Home,738,3,3,75.41,2026-03-06 11:04:12.435108,0
CUST1135,39,Male,South,Post-Graduate,Self-Employed,56035.84,19907.0,Other,486,1,7,81.6,2024-05-26 11:04:12.435108,0
CUST1136,44,Male,East,Secondary,Salaried,65321.61,16721.05,Other,644,1,43,78.26,2019-11-17 11:04:12.435108,1
CUST1137,52,Female,West,Post-Graduate,Self-Employed,74538.66,21551.91,Other,523,4,82,63.88,2018-09-25 11:04:12.435108,0
CUST1138,18,Female,West,Graduate,Salaried,47996.92,28250.98,Home,787,3,38,20.99,2023-09-13 11:04:12.435108,0
CUST1139,52,Female,West,Primary,Self-Employed,45926.52,11328.7,Car,528,6,37,32.15,2021-12-12 11:04:12.435108,0
CUST1140,54,Other,North,Primary,,32440.35,13418.84,Business,689,10,58,13.69,2020-10-14 11:04:12.435108,0
CUST1141,64,Male,South,Primary,Salaried,33462.39,16962.74,Other,487,4,33,84.47,2026-04-09 11:04:12.435108,0
CUST1142,31,Male,North,Secondary,,45470.42,6541.29,Car,569,5,59,62.86,2023-07-24 11:04:12.435108,0
CUST1143,20,Female,South,Post-Graduate,Salaried,57347.31,11807.42,Education,609,9,95,69.71,2021-06-30 11:04:12.435108,0
CUST1144,18,Male,East,Graduate,Unemployed,68271.69,15237.79,Other,431,3,11,34.93,2017-12-14 11:04:12.435108,0
CUST1145,22,Other,East,Post-Graduate,Self-Employed,33936.42,28743.89,Business,850,12,68,77.65,2019-04-27 11:04:12.435108,0
CUST1146,43,Male,West,Post-Graduate,Self-Employed,79853.77,22625.61,Education,371,11,82,30.77,2017-11-30 11:04:12.435108,1
CUST1147,31,Other,South,Post-Graduate,Self-Employed,44577.53,21935.9,Education,486,1,68,10.13,2019-02-12 11:04:12.435108,0
CUST1148,56,Male,East,Primary,Unemployed,49572.65,28508.98,Business,785,12,98,40.11,2024-09-14 11:04:12.435108,0
CUST1149,44,Female,South,Graduate,Salaried,35055.77,18626.28,Other,490,9,93,55.66,2022-08-24 11:04:12.435108,0
CUST1150,26,Female,East,Graduate,Salaried,5000.0,23904.65,Home,721,8,88,48.3,2022-05-24 11:04:12.435108,0
CUST1151,32,,North,Post-Graduate,Self-Employed,67680.91,18967.78,Business,419,9,22,78.97,2019-04-19 11:04:12.435108,0
CUST1152,32,Male,East,Primary,Unemployed,64736.88,22653.62,Business,519,6,66,18.43,2024-09-22 11:04:12.435108,1
CUST1153,43,Female,North,Primary,Self-Employed,44373.45,14172.41,Business,352,3,44,54.31,2022-11-27 11:04:12.435108,1
CUST1154,59,Other,East,Graduate,Self-Employed,51339.81,1000.0,Education,750,2,6,51.04,2021-02-25 11:04:12.435108,0
CUST1155,30,Female,West,Primary,Salaried,60318.78,18657.21,Car,711,9,42,32.51,2022-11-23 11:04:12.435108,0
CUST1156,68,Female,North,Primary,Unemployed,18749.08,34227.48,Home,536,2,25,75.78,2020-10-29 11:04:12.435108,0
CUST1157,49,Female,East,Primary,Salaried,39418.95,29262.15,Other,705,8,57,70.23,2020-05-29 11:04:12.435108,0
CUST1158,56,Female,West,Secondary,Self-Employed,65885.29,29653.97,Other,721,4,85,68.63,2018-10-23 11:04:12.435108,0
CUST1159,66,Female,North,Post-Graduate,Salaried,24914.21,32361.31,Car,546,12,55,80.1,2017-11-25 11:04:12.435108,0
CUST1160,69,Female,West,Graduate,Salaried,55871.16,20886.58,Business,371,2,16,67.82,2022-01-24 11:04:12.435108,0
CUST1161,49,Other,South,Graduate,Salaried,22868.36,21973.16,Home,484,4,95,28.55,2021-11-19 11:04:12.435108,0
CUST1162,21,Male,South,Secondary,Salaried,59328.6,13823.48,Other,305,1,14,66.45,2017-05-15 11:04:12.435108,0
CUST1163,47,Male,North,Post-Graduate,Self-Employed,49287.17,16839.27,Other,505,10,39,34.62,2024-10-28 11:04:12.435108,1
CUST1164,54,Other,East,Graduate,Salaried,17697.36,26157.71,Business,843,3,28,29.37,2016-11-16 11:04:12.435108,0
CUST1165,40,Female,North,Primary,Salaried,73294.79,32038.84,Car,686,9,96,15.84,2026-01-03 11:04:12.435108,0
CUST1166,56,Female,West,Graduate,Salaried,35308.17,18605.54,Home,375,1,92,69.52,2017-07-31 11:04:12.435108,0
CUST1167,62,Female,East,Primary,Salaried,33794.95,15498.11,Car,476,1,51,66.88,2018-01-24 11:04:12.435108,0
CUST1168,32,Male,South,Secondary,Salaried,54011.38,20005.28,Car,648,11,49,28.76,2023-05-22 11:04:12.435108,0
CUST1169,60,Male,East,Primary,Salaried,72972.75,26012.07,Home,554,7,9,69.95,2018-02-22 11:04:12.435108,0
CUST1170,46,Female,South,Graduate,Self-Employed,29683.56,5561.45,Home,607,0,58,83.43,2025-03-26 11:04:12.435108,1
CUST1171,53,Male,East,Graduate,Self-Employed,51233.6,1000.0,Other,644,6,45,18.64,2023-12-25 11:04:12.435108,0
CUST1172,30,Female,East,Graduate,Self-Employed,58576.33,14494.63,Other,426,4,22,28.61,2021-01-31 11:04:12.435108,0
CUST1173,49,Male,East,Secondary,Salaried,63862.11,7792.88,Home,586,10,32,70.02,2023-01-14 11:04:12.435108,0
CUST1174,24,Other,West,Secondary,Salaried,53528.83,14918.6,Education,786,7,69,31.96,2017-01-23 11:04:12.435108,0
CUST1175,68,,West,Post-Graduate,Unemployed,42659.44,18522.2,Other,682,0,87,59.97,2020-08-31 11:04:12.435108,0
CUST1176,39,Female,North,Graduate,Self-Employed,33448.2,15467.52,Education,705,10,69,16.49,2020-08-18 11:04:12.435108,1
CUST1177,45,Female,North,Primary,Salaried,51722.88,34524.68,Home,687,6,42,46.18,2023-01-12 11:04:12.435108,0
CUST1178,19,Male,South,Secondary,Salaried,28557.22,23267.45,Other,824,4,53,69.13,2021-08-07 11:04:12.435108,0
CUST1179,59,Female,West,Graduate,Salaried,5000.0,23004.74,Car,575,3,96,64.92,2022-04-14 11:04:12.435108,0
CUST1180,62,Female,South,Graduate,Salaried,58731.2,26222.07,Home,799,6,59,75.21,2019-03-03 11:04:12.435108,0
CUST1181,23,Male,North,Secondary,Salaried,68078.7,8611.67,Business,636,9,74,80.2,2022-07-22 11:04:12.435108,1
CUST1182,45,Other,South,Post-Graduate,Self-Employed,5000.0,30391.12,Education,780,1,39,71.85,2026-01-01 11:04:12.435108,1
CUST1183,45,Female,North,Secondary,Self-Employed,29805.39,19242.36,Home,572,11,15,63.73,2016-06-24 11:04:12.435108,0
CUST1184,61,Other,West,Secondary,Self-Employed,62383.09,26704.81,Home,357,0,71,12.54,2023-12-24 11:04:12.435108,0
CUST1185,61,Female,East,Primary,Self-Employed,91149.91,9281.43,Other,627,0,29,52.8,2024-06-07 11:04:12.435108,0
CUST1186,37,Female,West,Primary,Unemployed,50415.87,4462.41,Other,408,10,3,13.02,2017-08-20 11:04:12.435108,0
CUST1187,47,Male,South,Post-Graduate,Self-Employed,35439.94,28178.9,Other,578,11,83,74.65,2023-12-30 11:04:12.435108,1
CUST1188,28,Other,South,Graduate,,46342.07,23764.1,Business,627,0,10,35.66,2026-04-10 11:04:12.435108,0
CUST1189,45,Female,West,Secondary,Salaried,77497.53,10979.48,Other,614,11,92,54.99,2022-05-16 11:04:12.435108,0
CUST1190,42,Male,West,Post-Graduate,Salaried,37080.72,11303.37,Home,773,4,29,32.36,2024-10-08 11:04:12.435108,0
CUST1191,56,Male,North,Primary,Salaried,34016.16,31254.35,Other,410,9,79,72.6,2019-05-05 11:04:12.435108,1
CUST1192,50,Male,South,Secondary,Self-Employed,40345.13,8105.88,Car,528,6,35,80.92,2024-12-20 11:04:12.435108,0
CUST1193,18,Female,South,Graduate,Unemployed,30933.43,36426.73,Other,796,1,6,41.89,2023-07-16 11:04:12.435108,0
CUST1194,44,,West,Primary,Salaried,52453.41,10993.79,Business,455,9,12,79.03,2020-03-01 11:04:12.435108,0
CUST1195,69,Male,East,Primary,Unemployed,82493.57,26383.92,Car,772,7,38,31.37,2017-08-07 11:04:12.435108,1
CUST1196,30,Female,South,Primary,Salaried,56461.59,16713.82,Home,571,3,77,52.77,2019-08-23 11:04:12.435108,0
CUST1197,58,Male,East,Post-Graduate,Unemployed,44952.93,26031.87,Home,301,11,93,78.7,2021-03-23 11:04:12.435108,0
CUST1198,20,Other,West,Graduate,Salaried,44163.77,14558.86,Education,810,2,19,36.07,2018-02-14 11:04:12.435108,0
CUST1199,56,Female,West,Secondary,Salaried,18736.18,18372.07,Car,585,9,67,86.32,2021-06-09 11:04:12.435108,0
CUST1200,23,Female,North,Post-Graduate,Salaried,67662.2,20409.19,Education,312,10,8,19.75,2016-05-21 11:04:12.435108,0
CUST1201,25,Female,South,Post-Graduate,Salaried,48443.26,9978.13,Car,797,7,8,11.46,2024-06-12 11:04:12.435108,1
CUST1202,44,Male,East,Post-Graduate,Salaried,46390.4,27408.24,Car,537,1,84,82.33,2026-03-04 11:04:12.435108,0
CUST1203,26,Male,North,Primary,Salaried,113862.15,14867.86,Business,393,10,47,15.49,2024-06-02 11:04:12.435108,0
CUST1204,54,Male,South,Graduate,Unemployed,55975.06,17714.0,Education,637,10,4,89.35,2019-04-21 11:04:12.435108,0
CUST1205,50,Female,North,Post-Graduate,Self-Employed,34964.18,10056.51,Business,470,12,51,86.11,2021-12-18 11:04:12.435108,0
CUST1206,68,Female,West,Secondary,Salaried,41472.85,1000.0,Car,766,2,85,20.96,2024-11-22 11:04:12.435108,1
CUST1207,59,,South,Graduate,Self-Employed,72968.91,18089.72,Home,442,11,67,53.01,2018-05-09 11:04:12.435108,0
CUST1208,61,,North,Secondary,Self-Employed,52265.41,44126.15,Car,500,2,45,24.79,2022-01-16 11:04:12.435108,0
CUST1209,41,Female,North,Graduate,Salaried,21234.44,27846.04,Business,479,9,8,44.25,2017-07-17 11:04:12.435108,0
CUST1210,32,Female,East,Secondary,Salaried,68384.58,19807.4,Education,663,10,87,14.91,2026-02-10 11:04:12.435108,0
CUST1211,49,Other,North,Primary,Salaried,36637.12,17371.09,Education,778,0,16,27.91,2023-05-13 11:04:12.435108,0
CUST1212,49,Female,South,Post-Graduate,Salaried,87465.96,20224.66,Business,770,5,77,39.06,2019-09-12 11:04:12.435108,0
